,Date,Round,Region,Winning Seed,Winner,Winning Score,Losing Seed,Loser,Losing Score,Overtime
58,3/24/1985,Elite Eight,Southeast,8,Villanova,56,2,North Carolina,44,
113,3/20/1986,Sweet Sixteen,West,2,Louisville,94,3,North Carolina,79,
182,3/21/1987,Elite Eight,East,2,Syracuse,79,1,North Carolina,75,
248,3/27/1988,Elite Eight,West,1,Arizona,70,2,North Carolina,52,
300,3/23/1989,Sweet Sixteen,Southeast,3,Michigan,92,2,North Carolina,87,
365,3/22/1990,Sweet Sixteen,Midwest,4,Arkansas,96,8,North Carolina,73,
439,3/30/1991,National Semifinals,National Semifinals,3,Kansas,79,1,North Carolina,73,
495,3/27/1992,Sweet Sixteen,Southeast,1,Ohio State,80,4,North Carolina,73,
608,3/20/1994,Round of 32,East,9,Boston College,75,1,North Carolina,72,
691,4/1/1995,National Semifinals,National Semifinals,2,Arkansas,75,2,North Carolina,68,
734,3/17/1996,Round of 32,East,3,Texas Tech,92,6,North Carolina,73,
817,3/29/1997,National Semifinals,National Semifinals,4,Arizona,66,1,North Carolina,58,
880,3/28/1998,National Semifinals,National Semifinals,3,Utah,65,1,North Carolina,59,
897,3/11/1999,Round of 64,West,14,Weber State,76,3,North Carolina,74,
1006,4/1/2000,National Semifinals,National Semifinals,5,Florida,71,8,North Carolina,59,
1054,3/18/2001,Round of 32,South,7,Pennsylvania State,82,2,North Carolina,74,
1237,3/20/2004,Round of 32,South,3,Texas,78,6,North Carolina,75,
1370,3/19/2006,Round of 32,East,11,George Mason,65,3,North Carolina,60,
1451,3/25/2007,Elite Eight,East,2,Georgetown,96,1,North Carolina,84,1 OT
1517,4/5/2008,National Semifinals,National Semifinals,1,Kansas,84,1,North Carolina,66,
1710,3/27/2011,Elite Eight,East,4,Kentucky,76,2,North Carolina,69,
1777,3/25/2012,Elite Eight,Midwest,2,Kansas,80,1,North Carolina,67,
1829,3/24/2013,Round of 32,South,1,Kansas,70,8,North Carolina,58,
1894,3/23/2014,Round of 32,East,3,Iowa State,85,6,North Carolina,83,
1970,3/26/2015,Sweet Sixteen,West,1,Wisconsin,79,4,North Carolina,72,
2049,4/4/2016,National Championship,,2,Villanova,77,1,North Carolina,74,
