,Date,Round,Region,Winning Seed,Winner,Winning Score,Losing Seed,Loser,Losing Score,Overtime
8,3/14/1985,Round of 64,Southeast,2,North Carolina,76,15,Middle Tennessee State,57,
36,3/16/1985,Round of 32,Southeast,2,North Carolina,60,7,Notre Dame,58,
52,3/22/1985,Sweet Sixteen,Southeast,2,North Carolina,62,11,Auburn,56,
76,3/13/1986,Round of 64,West,3,North Carolina,84,14,Utah,72,
102,3/15/1986,Round of 32,West,3,North Carolina,77,6,UAB,59,
126,3/12/1987,Round of 64,East,1,North Carolina,113,16,Pennsylvania,82,
158,3/14/1987,Round of 32,East,1,North Carolina,109,9,Michigan,97,
174,3/19/1987,Sweet Sixteen,East,1,North Carolina,74,5,Notre Dame,68,
201,3/17/1988,Round of 64,West,2,North Carolina,83,15,North Texas,65,
227,3/19/1988,Round of 32,West,2,North Carolina,123,10,Loyola Marymount,97,
244,3/25/1988,Sweet Sixteen,West,2,North Carolina,78,3,Michigan,69,
276,3/17/1989,Round of 64,Southeast,2,North Carolina,93,15,Southern,79,
296,3/19/1989,Round of 32,Southeast,2,North Carolina,88,7,UCLA,81,
321,3/15/1990,Round of 64,Midwest,8,North Carolina,83,9,Missouri State,70,
350,3/17/1990,Round of 32,Midwest,8,North Carolina,79,1,Oklahoma,77,
394,3/15/1991,Round of 64,East,1,North Carolina,101,16,Northeastern,66,
418,3/17/1991,Round of 32,East,1,North Carolina,84,9,Villanova,69,
430,3/22/1991,Sweet Sixteen,East,1,North Carolina,93,12,Eastern Michigan,67,
436,3/24/1991,Elite Eight,East,1,North Carolina,75,10,Temple,72,
450,3/19/1992,Round of 64,Southeast,4,North Carolina,68,13,"Miami, Ohio",63,
478,3/21/1992,Round of 32,Southeast,4,North Carolina,64,5,Alabama,55,
504,3/18/1993,Round of 64,East,1,North Carolina,85,16,East Carolina,65,
536,3/20/1993,Round of 32,East,1,North Carolina,112,8,Rhode Island,67,
556,3/26/1993,Sweet Sixteen,East,1,North Carolina,80,4,Arkansas,74,
562,3/28/1993,Elite Eight,East,1,North Carolina,75,2,Cincinnati,68,1 OT
564,4/3/1993,National Semifinals,National Semifinals,1,North Carolina,78,2,Kansas,68,
566,4/5/1993,National Championship,National Championship,1,North Carolina,77,1,Michigan,71,
583,3/18/1994,Round of 64,East,1,North Carolina,71,16,Liberty,51,
654,3/17/1995,Round of 64,Southeast,2,North Carolina,80,15,Murray State,70,
674,3/19/1995,Round of 32,Southeast,2,North Carolina,73,7,Iowa State,51,
679,3/23/1995,Sweet Sixteen,Southeast,2,North Carolina,74,6,Georgetown,64,
686,3/25/1995,Elite Eight,Southeast,2,North Carolina,74,1,Kentucky,61,
711,3/15/1996,Round of 64,East,6,North Carolina,83,11,New Orleans,62,
756,3/13/1997,Round of 64,East,1,North Carolina,82,16,Fairfield,74,
788,3/15/1997,Round of 32,East,1,North Carolina,73,9,Colorado,56,
808,3/21/1997,Sweet Sixteen,East,1,North Carolina,73,5,California,67,
814,3/23/1997,Elite Eight,East,1,North Carolina,97,6,Louisville,74,
819,3/12/1998,Round of 64,East,1,North Carolina,88,16,Navy,52,
851,3/14/1998,Round of 32,East,1,North Carolina,93,8,Charlotte,83,1 OT
867,3/19/1998,Sweet Sixteen,East,1,North Carolina,73,4,Michigan State,58,
875,3/21/1998,Elite Eight,East,1,North Carolina,75,2,Connecticut,64,
976,3/17/2000,Round of 64,South,8,North Carolina,84,9,Missouri,70,
992,3/19/2000,Round of 32,South,8,North Carolina,60,1,Stanford,53,
1000,3/24/2000,Sweet Sixteen,South,8,North Carolina,74,4,Tennessee,69,
1004,3/26/2000,Elite Eight,South,8,North Carolina,59,7,Tulsa,55,
1034,3/16/2001,Round of 64,South,2,North Carolina,70,15,Princeton,48,
1209,3/18/2004,Round of 64,South,6,North Carolina,63,11,Air Force,52,
1281,3/18/2005,Round of 64,East,1,North Carolina,96,16,Oakland,68,
1305,3/20/2005,Round of 32,East,1,North Carolina,92,9,Iowa State,65,
1317,3/25/2005,Sweet Sixteen,East,1,North Carolina,67,5,Villanova,66,
1323,3/27/2005,Elite Eight,East,1,North Carolina,88,6,Wisconsin,82,
1325,4/2/2005,National Semifinals,National Semifinals,1,North Carolina,87,5,Michigan State,71,
1327,4/4/2005,National Championship,National Championship,1,North Carolina,75,1,Illinois,70,
1346,3/17/2006,Round of 64,East,3,North Carolina,69,14,Murray State,65,
1393,3/15/2007,Round of 64,East,1,North Carolina,86,16,Eastern Kentucky,65,
1425,3/17/2007,Round of 32,East,1,North Carolina,81,9,Michigan State,67,
1445,3/23/2007,Sweet Sixteen,East,1,North Carolina,74,5,Southern California,64,
1473,3/21/2008,Round of 64,East,1,North Carolina,113,16,"Mt. St. Mary's, Maryland",74,
1497,3/23/2008,Round of 32,East,1,North Carolina,108,9,Arkansas,77,
1505,3/27/2008,Sweet Sixteen,East,1,North Carolina,68,4,Washington State,47,
1513,3/29/2008,Elite Eight,East,1,North Carolina,83,3,Louisville,73,
1525,3/19/2009,Round of 64,South,1,North Carolina,101,16,Radford,58,
1555,3/21/2009,Round of 32,South,1,North Carolina,84,8,Louisiana State,70,
1575,3/27/2009,Sweet Sixteen,South,1,North Carolina,98,4,Gonzaga,77,
1580,3/29/2009,Elite Eight,South,1,North Carolina,72,2,Oklahoma,60,
1581,4/4/2009,National Semifinals,National Semifinals,1,North Carolina,83,3,Villanova,69,
1583,4/6/2009,National Championship,National Championship,1,North Carolina,89,2,Michigan State,72,
1669,3/18/2011,Round of 64,East,2,North Carolina,102,15,Long Island-Brooklyn,87,
1693,3/20/2011,Round of 32,East,2,North Carolina,86,7,Washington,83,
1704,3/25/2011,Sweet Sixteen,East,2,North Carolina,81,11,Marquette,63,
1737,3/16/2012,Round of 64,Midwest,1,North Carolina,77,16,Vermont,58,
1760,3/18/2012,Round of 32,Midwest,1,North Carolina,87,8,Creighton,73,
1771,3/23/2012,Sweet Sixteen,Midwest,1,North Carolina,73,13,Ohio,65,1 OT
1811,3/22/2013,Round of 64,South,8,North Carolina,78,9,Villanova,71,
1871,3/21/2014,Round of 64,East,6,North Carolina,79,11,Providence,77,
1931,3/19/2015,Round of 64,West,4,North Carolina,67,13,Harvard,65,
1958,3/21/2015,Round of 32,West,4,North Carolina,87,5,Arkansas,78,
1987,3/17/2016,Round of 64,East,1,North Carolina,83,16,Florida Gulf Coast,67,
2019,3/19/2016,Round of 32,East,1,North Carolina,85,9,Providence,66,
2039,3/25/2016,Sweet Sixteen,East,1,North Carolina,101,5,Indiana,86,
2045,3/27/2016,Elite Eight,East,1,North Carolina,88,6,Notre Dame,74,
2047,4/2/2016,National Semifinals,,1,North Carolina,83,10,Syracuse,66,
